               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.037148,            0.013927,           0.0071965,             0.84973,             0.97343,             0.98399,             0.67484,            0.037918,            0.008463,           0.0062859,           0.0095545,           0.0095545,           0.0095545
                  92,            0.047886,            0.012783,           0.0069076,             0.89216,             0.86259,             0.90005,             0.42439,            0.046865,           0.0084487,           0.0062063,           0.0095496,           0.0095496,           0.0095496
                  93,            0.048854,            0.011033,           0.0075759,             0.85494,             0.98527,             0.96737,             0.48958,            0.038965,           0.0081932,            0.006195,           0.0095446,           0.0095446,           0.0095446
                  94,            0.043194,             0.01441,           0.0073434,             0.70005,             0.99138,             0.91458,             0.49985,            0.032739,           0.0081014,           0.0060482,           0.0095397,           0.0095397,           0.0095397
                  95,            0.037412,              0.0116,           0.0067077,             0.87533,             0.90253,             0.94078,             0.65629,             0.03482,           0.0077743,           0.0058163,           0.0095347,           0.0095347,           0.0095347
                  96,            0.042568,             0.01234,            0.006346,             0.67583,             0.85994,              0.8542,              0.3025,            0.043847,           0.0083579,           0.0056713,           0.0095298,           0.0095298,           0.0095298
                  97,            0.046446,            0.013477,           0.0069406,             0.96214,             0.99138,             0.98596,             0.68915,            0.032275,           0.0079106,           0.0057071,           0.0095248,           0.0095248,           0.0095248
                  98,            0.034314,            0.012795,           0.0065984,             0.97709,             0.99131,             0.98855,             0.68504,            0.026386,           0.0077849,           0.0056316,           0.0095198,           0.0095198,           0.0095198
                  99,            0.029907,            0.012481,           0.0061468,             0.69066,             0.98276,             0.91182,             0.45457,            0.033625,           0.0079155,           0.0053654,           0.0095149,           0.0095149,           0.0095149
                 100,            0.041079,            0.012204,           0.0063001,              0.5888,              0.9298,              0.7606,             0.39496,            0.051917,            0.008492,           0.0054734,             0.00951,             0.00951,             0.00951
                 101,            0.054043,             0.01291,           0.0065168,             0.62282,             0.99918,             0.96176,             0.43148,            0.044663,           0.0083779,           0.0055558,            0.009505,            0.009505,            0.009505
                 102,            0.041102,            0.012327,           0.0065663,             0.63485,             0.99481,             0.96558,             0.62153,            0.032649,           0.0082954,           0.0055975,              0.0095,              0.0095,              0.0095
                 103,            0.035218,            0.014563,           0.0065327,             0.97798,             0.88125,             0.97071,             0.59576,            0.034467,           0.0080255,           0.0055554,           0.0094951,           0.0094951,           0.0094951
                 104,            0.044575,            0.013277,           0.0061927,             0.83396,             0.85796,             0.87466,             0.40245,            0.048384,           0.0080699,           0.0057151,           0.0094902,           0.0094902,           0.0094902
                 105,            0.047996,            0.012693,           0.0063239,             0.84995,             0.95926,             0.95636,             0.57838,            0.039179,           0.0078177,           0.0056845,           0.0094852,           0.0094852,           0.0094852
                 106,            0.037092,            0.011811,           0.0063185,             0.96545,             0.97115,             0.98884,             0.62925,            0.030044,           0.0078333,           0.0057298,           0.0094803,           0.0094803,           0.0094803
                 107,            0.031296,            0.013133,           0.0065295,             0.98375,             0.99782,             0.99127,              0.7272,            0.030832,           0.0077213,           0.0056948,           0.0094753,           0.0094753,           0.0094753
                 108,             0.03701,            0.013278,           0.0065733,             0.91077,             0.90902,             0.94589,             0.47567,             0.04437,            0.008579,            0.005477,           0.0094704,           0.0094704,           0.0094704
                 109,            0.046655,            0.012495,           0.0066032,             0.98521,             0.90927,             0.96156,             0.51027,            0.037886,           0.0080535,           0.0054073,           0.0094654,           0.0094654,           0.0094654
                 110,            0.038037,            0.012713,           0.0066844,             0.99227,             0.90054,             0.96067,             0.54005,            0.030392,            0.007693,           0.0053749,           0.0094605,           0.0094605,           0.0094605
                 111,            0.035377,            0.012402,           0.0062674,             0.81825,             0.97414,             0.96185,             0.63601,            0.038052,           0.0080683,           0.0052385,           0.0094555,           0.0094555,           0.0094555
                 112,            0.043564,            0.011699,           0.0061268,             0.91212,             0.84315,             0.96379,             0.38029,            0.051395,           0.0085296,           0.0053148,           0.0094506,           0.0094506,           0.0094506
                 113,            0.052616,            0.013058,           0.0064591,             0.75969,             0.87035,             0.92239,             0.60337,            0.042196,           0.0083309,           0.0053992,           0.0094456,           0.0094456,           0.0094456
                 114,             0.03992,            0.013404,           0.0063003,             0.75683,             0.91773,             0.94941,             0.61507,            0.032293,           0.0083236,            0.005408,           0.0094407,           0.0094407,           0.0094407
                 115,            0.033213,            0.010858,           0.0063846,              0.9656,              0.9441,             0.98529,             0.57502,            0.032612,           0.0082066,            0.005354,           0.0094357,           0.0094357,           0.0094357
                 116,            0.038678,             0.01431,           0.0058344,             0.86923,             0.98612,             0.98468,             0.53097,            0.038487,            0.008259,           0.0054848,           0.0094307,           0.0094307,           0.0094307
                 117,            0.042297,            0.012697,           0.0059749,             0.94421,             0.98628,             0.97564,             0.50054,            0.031892,           0.0078408,           0.0054873,           0.0094258,           0.0094258,           0.0094258
                 118,            0.031876,            0.012637,           0.0061213,             0.86182,             0.99999,              0.9801,             0.62109,             0.02435,           0.0077064,           0.0054416,           0.0094208,           0.0094208,           0.0094208
                 119,            0.028005,            0.011811,           0.0059218,             0.84815,             0.99958,             0.98897,             0.71172,             0.02713,           0.0073954,           0.0053065,           0.0094159,           0.0094159,           0.0094159
                 120,            0.035147,            0.011098,           0.0053472,             0.62182,             0.95981,              0.9064,              0.4093,            0.041143,           0.0081078,           0.0051512,           0.0094109,           0.0094109,           0.0094109
                 121,            0.040249,            0.011866,           0.0054762,             0.86454,             0.99627,             0.98623,             0.73991,            0.028769,           0.0074268,           0.0050629,            0.009406,            0.009406,            0.009406
                 122,            0.030267,            0.012394,           0.0052995,             0.98246,             0.99564,             0.98705,             0.73853,            0.025672,           0.0072128,           0.0050236,            0.009401,            0.009401,            0.009401
                 123,            0.026538,            0.011324,           0.0052699,             0.87476,              0.9996,             0.98908,             0.72365,            0.031181,           0.0071948,           0.0048839,           0.0093961,           0.0093961,           0.0093961
                 124,            0.037469,             0.01356,           0.0060993,              0.8446,             0.92499,              0.9872,             0.64713,            0.040768,           0.0076634,           0.0049415,           0.0093912,           0.0093912,           0.0093912
                 125,            0.040965,            0.011104,           0.0054778,             0.81102,             0.93137,             0.95406,             0.69082,            0.032373,           0.0073623,           0.0050284,           0.0093862,           0.0093862,           0.0093862
                 126,            0.030922,            0.012855,           0.0057591,             0.97648,             0.92253,             0.98719,             0.70374,            0.025357,           0.0071787,           0.0050613,           0.0093813,           0.0093813,           0.0093813
                 127,             0.02514,            0.011114,           0.0054495,             0.82795,             0.97414,             0.95366,             0.52839,            0.032448,           0.0074552,             0.00506,           0.0093763,           0.0093763,           0.0093763
                 128,            0.037797,            0.011572,           0.0052206,             0.75764,              0.8746,             0.95367,             0.56504,             0.03822,            0.007719,           0.0051207,           0.0093714,           0.0093714,           0.0093714
                 129,            0.039215,            0.012705,            0.005258,              0.7766,             0.94828,             0.94155,             0.54964,            0.031073,           0.0074043,           0.0051502,           0.0093664,           0.0093664,           0.0093664
                 130,            0.030425,            0.012568,           0.0053774,             0.91563,             0.98276,             0.98471,             0.63359,            0.028773,           0.0072875,            0.005216,           0.0093615,           0.0093615,           0.0093615
                 131,            0.026061,            0.010477,           0.0055211,              0.9762,             0.99136,              0.9876,             0.70041,            0.026102,           0.0072181,           0.0051416,           0.0093565,           0.0093565,           0.0093565
                 132,            0.031954,            0.010999,           0.0051995,             0.85559,             0.97268,             0.98677,             0.59384,            0.035228,           0.0078486,             0.00504,           0.0093516,           0.0093516,           0.0093516
                 133,            0.036752,            0.011134,           0.0054455,              0.9579,             0.98223,             0.97654,             0.68916,            0.024787,           0.0072166,           0.0050774,           0.0093466,           0.0093466,           0.0093466
                 134,            0.026621,            0.010957,            0.005469,             0.98154,             0.99138,             0.99025,             0.74454,             0.02128,           0.0070706,            0.004942,           0.0093416,           0.0093416,           0.0093416
                 135,            0.024728,            0.011064,           0.0050007,             0.91796,             0.97309,             0.98317,             0.64278,            0.029917,             0.00734,           0.0047429,           0.0093367,           0.0093367,           0.0093367
                 136,            0.038377,            0.011491,           0.0055096,              0.6552,             0.90007,             0.81451,             0.34874,            0.047421,            0.008144,           0.0046756,           0.0093317,           0.0093317,           0.0093317
                 137,            0.045961,            0.011486,           0.0049784,             0.90906,             0.92833,              0.9223,             0.61081,            0.034798,           0.0076721,           0.0047414,           0.0093268,           0.0093268,           0.0093268
                 138,            0.034451,            0.011689,           0.0049441,             0.93009,             0.97072,             0.96368,             0.71803,            0.030389,           0.0078099,           0.0047754,           0.0093219,           0.0093219,           0.0093219
                 139,            0.030787,            0.012321,           0.0052563,              0.9501,              0.9311,             0.99124,             0.77855,            0.028367,           0.0074738,            0.004664,           0.0093169,           0.0093169,           0.0093169
                 140,            0.036905,            0.011528,           0.0050816,             0.71394,             0.96145,             0.91136,             0.32961,            0.041442,           0.0077368,           0.0045762,           0.0093119,           0.0093119,           0.0093119
                 141,            0.041092,            0.010819,           0.0047116,             0.78443,             0.99975,             0.97602,             0.58399,            0.029409,           0.0074561,           0.0046709,            0.009307,            0.009307,            0.009307
                 142,            0.029105,            0.012375,           0.0050146,             0.98003,                   1,              0.9873,             0.74594,            0.024139,            0.007273,           0.0047891,            0.009302,            0.009302,            0.009302
                 143,            0.026865,            0.010111,           0.0052896,             0.85865,                   1,             0.98287,             0.60913,            0.031596,           0.0076724,           0.0048024,           0.0092971,           0.0092971,           0.0092971
                 144,            0.037689,             0.01134,           0.0051406,             0.96457,             0.99356,              0.9848,             0.56892,            0.039323,           0.0074771,            0.005036,           0.0092922,           0.0092922,           0.0092922
                 145,            0.040656,             0.01138,           0.0053405,             0.85196,                   1,             0.98346,             0.65315,            0.032406,           0.0074788,           0.0050532,           0.0092872,           0.0092872,           0.0092872
                 146,            0.029576,            0.011476,           0.0052267,             0.96953,                   1,             0.98523,             0.69283,            0.023551,           0.0073515,           0.0050021,           0.0092823,           0.0092823,           0.0092823
                 147,            0.025032,            0.012412,           0.0050311,             0.96182,             0.99153,             0.98781,             0.67587,            0.032518,            0.007476,           0.0049741,           0.0092773,           0.0092773,           0.0092773
                 148,            0.036072,            0.011288,           0.0047742,             0.95785,             0.98948,             0.98208,             0.59926,            0.029378,           0.0072311,            0.004847,           0.0092724,           0.0092724,           0.0092724
                 149,            0.033946,            0.011748,           0.0052498,             0.97697,                   1,             0.98548,             0.73346,            0.022869,           0.0070722,           0.0049537,           0.0092674,           0.0092674,           0.0092674
                 150,            0.028077,             0.01176,           0.0049993,             0.97902,             0.99998,             0.98573,              0.7688,            0.024232,           0.0069429,           0.0049225,           0.0092625,           0.0092625,           0.0092625
                 151,            0.025459,            0.011156,           0.0055177,             0.98229,                   1,             0.98745,             0.75033,            0.029108,           0.0068359,           0.0047826,           0.0092575,           0.0092575,           0.0092575
                 152,            0.039661,            0.011729,           0.0049141,              0.9523,             0.98523,             0.98893,             0.36999,            0.041132,           0.0076508,            0.004677,           0.0092526,           0.0092526,           0.0092526
                 153,            0.044163,            0.011575,             0.00508,             0.94318,             0.97105,             0.97851,             0.62629,            0.028118,           0.0068799,           0.0047054,           0.0092476,           0.0092476,           0.0092476
                 154,            0.029373,             0.01084,           0.0048647,             0.97899,             0.99993,             0.99175,             0.66237,            0.024209,           0.0068445,           0.0046702,           0.0092426,           0.0092426,           0.0092426
                 155,            0.025885,            0.012293,           0.0049326,             0.98054,                   1,             0.99213,             0.77138,            0.027106,           0.0070211,           0.0045541,           0.0092377,           0.0092377,           0.0092377
